Unnamed: 0,Name,Price,Unit,URL,Distributor,Product-ID,Dates,Product-Specification
,Chicken Thigh,$91.84,40 lb,https://shop.gocheetah.com/product/Chicken%2C%20Thigh%2C%20Bnls%2FSknls%2C%20Black%20Label%2C%20Frozen%2C%2040%20lb/112059,Cheetah,Chicken-ThighCheetaha4cb9772-d13d-4bb5-9804-2bcdf7175d79,"[""2024-10-22""]",
,Chicken Breast,$34.00,40 lb,https://shop.gocheetah.com/product/Chicken%2C%20Breasts%2C%20Bone-In%2C%20CVP%2C%20Frozen%2C%2040%20lb%20avg/124071,Cheetah,Chicken-BreastCheetah99bef7e0-12e9-4fb0-a3b0-731adbbab2c5,"[""2024-10-22""]",
,Lamb Leg,$168.0,40 lb,https://shop.gocheetah.com/product/Lamb%2C%20Shoulder%2C%20Boneless%2C%20Netted%2C%2040%20Lb%20Avg/125946,Cheetah,Lamb-LegCheetahb781a5ca-35c3-48d1-8aa5-2486818fefe0,"[""2024-10-22""]",
,Cut Goat,$70.54,15 lb,https://shop.gocheetah.com/product/Goat%2C%20Cube%2C%20Bone-In%2C%20Halal%2C%20Frozen%2C%2015%20lb/112037,Cheetah,Cut-GoatCheetahb45484d9-494c-49bb-9ad9-616858b6b920,"[""2024-10-22""]",
,Swai Fish Fillets,$47.40,15 lb,https://shop.gocheetah.com/product/Swai%2C%20Fillet%2C%20Boneless%2C%20Skinless%2C%207-9%20Oz%2C%20Iqf%2C%20Frozen%2C%2015%20lb/125403,Cheetah,Swai-Fish-FilletsCheetahc71cf444-bc4b-4775-b827-d0961ff7d2c3,"[""2024-10-22""]",
,Tilapia Fish Fillet,$52.90,10 lb,https://shop.gocheetah.com/product/Tilapia%2C%20Fillet%2C%205-7%20Oz%2C%20Iqf%2C%20Frozen%2C%2010%20lb/125404,Cheetah,Tilapia-Fish-FilletCheetaha4b03a5a-c75f-4355-91f4-d8824a7fe6f0,"[""2024-10-22""]",
,Peas and Carrots,$43.13,30 lb,https://shop.gocheetah.com/product/Peas%20%26%20Carrots%2C%2012%2F2.5%20lb/112534,Cheetah,Peas-and-CarrotsCheetahd3e500b8-c5ad-4325-a84c-aeccfa772f72,"[""2024-10-22""]",
,Frozen Peas,$44.57,30 lb,https://shop.gocheetah.com/product/Peas%2C%2012%2F2.5%20lb/112535,Cheetah,Frozen-PeasCheetah2b61e4e1-d036-472b-994c-abc25a32b613,"[""2024-10-22""]",
,Fresh Okra,$53.81,37 lb,https://shop.gocheetah.com/product/Okra%2C%20Cut%2C%2012%2F3%20Lb/125864,Cheetah,Fresh-OkraCheetahc97a51f8-bf8d-475b-b751-0a610e245712,"[""2024-10-22""]",
,Mixed Vegetables,$50.41,31 lb,https://shop.gocheetah.com/product/Vegetable%20Blend%2C%205%20Way%20Mixed%2C%2012%2F2.5%20lb/112536,Cheetah,Mixed-VegetablesCheetah604b0eb4-9e84-46ce-ba9a-62aca356af98,"[""2024-10-22""]",
